Liru,https://cdn.myanimelist.net/images/characters/4/54606.jpg,,R,R
Pachira,https://cdn.myanimelist.net/images/characters/4/54605.jpg,,R,R
Uma,https://cdn.myanimelist.net/images/characters/5/54607.jpg,,R,R
Aiko,https://cdn.myanimelist.net/images/characters/16/167291.jpg,,R,R
Ange,https://cdn.myanimelist.net/images/characters/7/329716.jpg,,R,R
Dorothy,https://cdn.myanimelist.net/images/characters/10/329720.jpg,,R,R
Princess,https://cdn.myanimelist.net/images/characters/10/329711.jpg,,R,R
Cheese,https://cdn.myanimelist.net/images/characters/14/329714.jpg,,R,R
Beato,https://cdn.myanimelist.net/images/characters/4/329718.jpg,,R,R
Lina,https://cdn.myanimelist.net/images/characters/2/38218.jpg,,R,R
Based Retard,https://cdn.myanimelist.net/images/characters/13/38259.jpg,,R,R
Amelia,https://cdn.myanimelist.net/images/characters/6/65512.jpg,,R,R
Zelgadis,https://cdn.myanimelist.net/images/characters/11/203645.jpg,,R,R
Tenshi,https://cdn.myanimelist.net/images/characters/10/289337.jpg,,R,R
Yurippe,https://cdn.myanimelist.net/images/characters/7/119951.jpg,,R,R
Yui,https://cdn.myanimelist.net/images/characters/11/150391.jpg,,R,R
Otonashi,https://cdn.myanimelist.net/images/characters/16/318156.jpg,,R,R
TK,https://cdn.myanimelist.net/images/characters/10/91153.jpg,,R,R
Shiina,https://cdn.myanimelist.net/images/characters/5/96113.jpg,,R,R
Mii,https://cdn.myanimelist.net/images/characters/14/74440.jpg,,R,R
Mea,https://cdn.myanimelist.net/images/characters/7/19330.jpg,,R,R
Mai,https://cdn.myanimelist.net/images/characters/16/294466.jpg,,R,R
Ai,https://cdn.myanimelist.net/images/characters/12/67794.jpg,,R,R
Unagi,https://cdn.myanimelist.net/images/characters/14/226609.jpg,,R,R
Keith,https://cdn.myanimelist.net/images/characters/16/284589.jpg,,R,R
Suigintou,https://cdn.myanimelist.net/images/characters/16/220173.jpg,,R,R
Desu,https://cdn.myanimelist.net/images/characters/4/89708.jpg,,R,R
