Dai Banana (she won),https://cdn.discordapp.com/attachments/957169847454822410/971170691216990218/banana.png,butai;,R,R
Roger Smith,https://cdn.discordapp.com/attachments/957169847454822410/980406206264905788/rogersmith.png,,R,R
Doroshee,https://cdn.myanimelist.net/images/characters/6/74373.jpg,meido;,R,R
Norman,https://cdn.myanimelist.net/images/characters/3/77585.jpg,,R,R
Angel,https://cdn.myanimelist.net/images/characters/11/77588.jpg,,R,R
Candlej-,https://cdn.myanimelist.net/images/characters/6/198437.jpg,,R,R
Dan Dastan,https://cdn.myanimelist.net/images/characters/12/77584.jpg,,L,R
Becku,https://cdn.myanimelist.net/images/characters/10/77586.jpg,,C,R
IM DA JOKAH BABY,https://cdn.myanimelist.net/images/characters/6/282827.jpg,,R,R
Alex Rosewater,https://cdn.myanimelist.net/images/characters/5/283082.jpg,,R,R
Sneed,https://cdn.discordapp.com/attachments/998843166138572821/1009609163191631882/sneed.png,,R,R
Lawrence,https://cdn.myanimelist.net/images/characters/10/163857.jpg,,R,R
Korbo,https://cdn.myanimelist.net/images/characters/4/317289.jpg,furry,R,R
Chloe,https://cdn.myanimelist.net/images/characters/10/91496.jpg,,R,R
Nora,https://cdn.myanimelist.net/images/characters/3/55714.jpg,,R,R
Goth GF,https://cdn.myanimelist.net/images/characters/9/148175.jpg,,R,R
Armarty,https://cdn.myanimelist.net/images/characters/4/57205.jpg,,R,R
Barslut,https://cdn.myanimelist.net/images/characters/11/63639.jpg,,R,R
Sheik,https://play.nintendo.com/images/Masthead_Sheik.17345b1513ac044897cfc243542899dce541e8dc.9afde10b.png,ninja,R,R
Koyuki,https://cdn.myanimelist.net/images/characters/4/81454.jpg,band,R,R
Ryuusuke,https://cdn.myanimelist.net/images/characters/7/90624.jpg,band,R,R
Saku,https://cdn.myanimelist.net/images/characters/15/57492.jpg,band,R,R
Chiba,https://cdn.myanimelist.net/images/characters/12/90977.jpg,band,R,R
Taira,https://cdn.myanimelist.net/images/characters/15/90625.jpg,band,R,R
Eddie,https://cdn.myanimelist.net/images/characters/9/77187.jpg,band,R,R
Matt (hes wild),https://cdn.myanimelist.net/images/characters/4/46555.jpg,band,R,R
Maho,https://cdn.myanimelist.net/images/characters/4/90622.jpg,,R,R
Izumi,https://cdn.myanimelist.net/images/characters/15/457810.jpg,,R,R
Donut,https://cdn.myanimelist.net/images/characters/11/46825.jpg,,R,R
Hyoudo,https://cdn.discordapp.com/attachments/957169847454822410/980970398571167754/unknown.png,band,R,R
40 year old highschooler,https://cdn.myanimelist.net/images/characters/7/23786.jpg,,R,R
Saito san,https://cdn.myanimelist.net/images/characters/10/23785.jpg,band,R,R
Becku (dog),https://cdn.discordapp.com/attachments/998843166138572821/998868726805971014/f7adcaa0e95884147b4baf72a6e878e3.599x599x1.png,,R,R
Kurt Cobain,https://cdn.discordapp.com/attachments/998843166138572821/1009604241532387409/kurt.PNG,kurt,R,R
Sousuke,https://cdn.myanimelist.net/images/characters/15/34137.jpg,,R,R
Chidori,https://cdn.myanimelist.net/images/characters/10/59128.jpg,,R,R
Tessa,https://cdn.myanimelist.net/images/characters/13/74136.jpg,,R,R
Melissa,https://cdn.myanimelist.net/images/characters/16/40726.jpg,,R,R
Kurz,https://cdn.myanimelist.net/images/characters/12/85991.jpg,,R,R
Not Gunha dono,https://cdn.myanimelist.net/images/characters/10/85063.jpg,,R,R
Gauron,https://cdn.myanimelist.net/images/characters/11/97670.jpg,gauron;homo;,C,E
Noda,https://cdn.myanimelist.net/images/characters/2/57746.jpg,,R,R
Big dumb glasses,https://cdn.discordapp.com/attachments/998843166138572821/1009611507455250483/snipped_megane_horrific.png,,R,R
Miyabi,https://cdn.myanimelist.net/images/characters/14/80470.jpg,,R,R
Tomokane,https://cdn.myanimelist.net/images/characters/8/74496.jpg,,R,R
Nozaki,https://cdn.myanimelist.net/images/characters/11/60755.jpg,,R,R
Aidoru,https://cdn.myanimelist.net/images/characters/13/425143.jpg,im@s,R,R
Puchi creatures,https://cdn.myanimelist.net/images/characters/5/242497.jpg,puchi,C,E
Producer,https://c.tenor.com/i9amW8b9cLgAAAAC/dancing-letter-letter.gif,,R,R
Kanami,https://cdn.myanimelist.net/images/characters/12/339688.jpg,toji,R,R
Hiyori,https://cdn.myanimelist.net/images/characters/14/339698.jpg,toji,R,R
Mai,https://cdn.myanimelist.net/images/characters/7/339697.jpg,toji,R,R
Kohagura,https://cdn.myanimelist.net/images/characters/5/339694.jpg,toji,R,R
Kaoru,https://cdn.myanimelist.net/images/characters/4/339695.jpg,toji;cunny,R,R
Sayaka,https://cdn.myanimelist.net/images/characters/14/339696.jpg,toji,R,R
Yume,https://cdn.myanimelist.net/images/characters/4/339689.jpg,toji;cunny,R,R
Yamamoto Yohko,https://cdn.myanimelist.net/images/characters/15/126123.jpg,,R,R
Ayano <3,https://cdn.myanimelist.net/images/characters/14/126129.jpg,,R,R
Momiji,https://cdn.myanimelist.net/images/characters/2/126119.jpg,,R,R
Madoka,https://cdn.myanimelist.net/images/characters/15/88959.jpg,,R,R
Lawson-han,https://cdn.myanimelist.net/images/characters/10/194623.jpg,,R,R
Yamamoto Yohtaro,https://cdn.discordapp.com/attachments/998843166138572821/1022037044903555092/yohtaro.png,,R,R
January,https://cdn.discordapp.com/attachments/998843166138572821/1022056560643543070/20723699_p4.jpg,,R,R
February,https://cdn.discordapp.com/attachments/998843166138572821/1022046513045721108/unknown.png,,R,R
March,https://cdn.discordapp.com/attachments/998843166138572821/1022046806986735627/unknown.png,,R,R
April <3,https://img3.gelbooru.com//images/ef/0e/ef0e4e2bafce7206f9042c8b5a948941.jpg,,R,R
May,https://cdn.discordapp.com/attachments/998843078662176862/1022218610732707970/may.png,,R,R
June,https://cdn.discordapp.com/attachments/998843166138572821/1022056486345658388/7956_p0.jpg,,R,R
July,https://img3.gelbooru.com//images/84/c4/84c420483aca2b692ea9b0513be9a249.jpg,,R,R
August,https://img3.gelbooru.com//images/b9/d9/b9d9155e3d64a0dcbae8821a3a027000.jpg,cunny;,R,R
Septembah,https://cdn.discordapp.com/attachments/998843166138572821/1022050032255500339/unknown.png,meido;,R,R
October,https://cdn.discordapp.com/attachments/998843166138572821/1022051378325102663/unknown.png,cunny;,R,R
November,https://cdn.discordapp.com/attachments/998843166138572821/1022051108568440892/unknown.png,cunny;,R,R
December,https://cdn.discordapp.com/attachments/998843166138572821/1022051524261720105/unknown.png,cunny;,R,R
Francember,https://cdn.myanimelist.net/images/characters/16/82009.jpg,cunny;,R,R
Mr Gunha dono,https://cdn.myanimelist.net/images/characters/5/82010.jpg,,R,R
Bishop,https://static.wikia.nocookie.net/coyoteragtimeshow/images/4/4c/C882f5ceee.jpg/revision/latest?cb=20190721010249,,R,R
Katana,https://static.wikia.nocookie.net/coyoteragtimeshow/images/f/f2/D998677cd0.jpg/revision/latest?cb=20190721010118,,R,R
Swamp,https://static.wikia.nocookie.net/coyoteragtimeshow/images/e/e5/B6f075da6e.jpg/revision/latest?cb=20190724204502,,R,R
Bruce,https://static.wikia.nocookie.net/coyoteragtimeshow/images/4/43/Dc0134d5b4.jpg/revision/latest?cb=20190721004344,,R,R
Mommy,https://cdn.myanimelist.net/images/characters/3/361337.jpg,,R,R
Angelica,https://cdn.discordapp.com/attachments/998843166138572821/1022051840961032202/7959_p0.jpg,,R,R
